Year,Country,Share,Group
2014,Canada,0.38,Major AI economies
2015,Canada,0.43,Major AI economies
2016,Canada,0.61,Major AI economies
2017,Canada,0.79,Major AI economies
2018,Canada,0.9,Major AI economies
2019,Canada,1.04,Major AI economies
2020,Canada,1.11,Major AI economies
2021,Canada,1.35,Major AI economies
2022,Canada,1.22,Major AI economies
2023,Canada,1.03,Major AI economies
2024,Canada,1.41,Major AI economies
2014,United Kingdom,0.42,Major AI economies
2015,United Kingdom,0.52,Major AI economies
2016,United Kingdom,0.61,Major AI economies
2017,United Kingdom,0.8,Major AI economies
2018,United Kingdom,0.88,Major AI economies
2019,United Kingdom,1.0,Major AI economies
2020,United Kingdom,1.21,Major AI economies
2021,United Kingdom,1.24,Major AI economies
2022,United Kingdom,1.36,Major AI economies
2023,United Kingdom,0.94,Major AI economies
2024,United Kingdom,1.26,Major AI economies
2014,United States,0.59,Major AI economies
2015,United States,0.71,Major AI economies
2016,United States,0.79,Major AI economies
2017,United States,1.06,Major AI economies
2018,United States,1.38,Major AI economies
2019,United States,1.52,Major AI economies
2020,United States,1.37,Major AI economies
2021,United States,1.49,Major AI economies
2022,United States,1.69,Major AI economies
2023,United States,1.39,Major AI economies
2024,United States,1.79,Major AI economies
2014,Australia,0.26,Smaller advanced economies
2015,Australia,0.83,Smaller advanced economies
2016,Australia,0.61,Smaller advanced economies
2017,Australia,0.52,Smaller advanced economies
2018,Australia,0.71,Smaller advanced economies
2019,Australia,0.79,Smaller advanced economies
2020,Australia,0.82,Smaller advanced economies
2021,Australia,1.17,Smaller advanced economies
2022,Australia,1.11,Smaller advanced economies
2023,Australia,0.91,Smaller advanced economies
2024,Australia,1.14,Smaller advanced economies
2019,Netherlands,1.04,Smaller advanced economies
2020,Netherlands,1.28,Smaller advanced economies
2021,Netherlands,1.35,Smaller advanced economies
2022,Netherlands,1.12,Smaller advanced economies
2023,Netherlands,1.01,Smaller advanced economies
2024,Netherlands,1.25,Smaller advanced economies
2014,New Zealand,0.14,Smaller advanced economies
2015,New Zealand,0.17,Smaller advanced economies
2016,New Zealand,0.14,Smaller advanced economies
2017,New Zealand,0.16,Smaller advanced economies
2018,New Zealand,0.2,Smaller advanced economies
2019,New Zealand,0.19,Smaller advanced economies
2020,New Zealand,0.25,Smaller advanced economies
2021,New Zealand,0.37,Smaller advanced economies
2022,New Zealand,0.45,Smaller advanced economies
2023,New Zealand,0.44,Smaller advanced economies
2024,New Zealand,0.55,Smaller advanced economies
